"Id","CategoryId","BrandId","Name","Slug","DiscountPercent","Status","BasePrice","Description","Overview","Specs","TotalSold","CreatedAt","UpdatedAt","AverageRating","TotalReviews"
"1","1","1","Dell XPS 13","dell-xps-13","0","available","25990000.00","Dell XPS 13 với màn hình InfinityEdge, Intel Core thế hệ mới, vỏ nhôm nguyên khối cao cấp.","Sản phẩm hiện đại dành cho doanh nhân Alpha male.","[{""Name"":""CPU"",""Value"":[""Intel i5"",""Intel i7""]},{""Name"":""Color"",""Value"":[""Black"",""Red""]},{""Name"":""Hệ điều hành"",""Value"":[""Windows 11 Home""]},{""Name"":""RAM"",""Value"":[""16GB"",""32GB""]},{""Name"":""Screen Size"",""Value"":[""15 inch""]},{""Name"":""Storage"",""Value"":[""1TB SSD""]}]","4","2025-01-15 10:00:00+00","2025-12-30 05:49:08.911844+00","0","0"
"2","1","2","MacBook Air M2","macbook-air-m2",,"available","28990000.00","MacBook Air M2 13.6 inch, màn hình Liquid Retina, hiệu năng vượt trội, pin 18 giờ.","MacBook Air với chip M2 mạnh mẽ, pin trâu, thiết kế sang trọng.","[{""Name"":""Color"",""Value"":[""Silver""]},{""Name"":""RAM"",""Value"":[""16GB"",""8GB""]},{""Name"":""Storage"",""Value"":[""256GB SSD"",""512GB SSD""]}]","1","2025-01-15 10:00:00+00","2025-12-30 05:49:08.911844+00","0","0"
"3","1","3","Asus ZenBook 14 OLED","asus-zenbook-14-oled","0","available","22490000.00","Asus ZenBook 14 OLED màn hình 2.8K, Intel Core i5/i7 thế hệ mới, mỏng nhẹ 1.39kg.","Ultrabook với màn hình OLED tuyệt đẹp, hiệu năng cao.","[{""Name"":""CPU"",""Value"":[""Intel i7""]},{""Name"":""Color"",""Value"":[""Silver""]},{""Name"":""GPU"",""Value"":[""RTX 4060""]},{""Name"":""Hệ điều hành"",""Value"":[""Windows 11 Home""]},{""Name"":""Screen Size"",""Value"":[""17 inch""]},{""Name"":""Warranty Period"",""Value"":[""24""]},{""Name"":""Ổ cứng"",""Value"":[""512GB SSD NVMe""]}]","3","2025-01-15 10:00:00+00","2025-12-30 05:49:08.911844+00","0","0"
"4","1","4","HP Spectre x360 14","hp-spectre-x360-14","0","Active","42990000.00","HP Spectre x360 14 màn hình OLED cảm ứng, Intel Core i7, hỗ trợ bút stylus.","Laptop xoay 360° cao cấp, màn hình cảm ứng, thiết kế sang trọng.","[{""Name"":""CPU"",""Value"":[""Intel Core i5-1335U"",""Intel Core i7-1355U""]},{""Name"":""Hệ điều hành"",""Value"":[""Windows 11 Home""]},{""Name"":""Màn hình"",""Value"":[""13.5 inch OLED cảm ứng"",""3:2 (3000x2000)"",""400 nits""]},{""Name"":""RAM"",""Value"":[""16GB LPDDR4x"",""8GB LPDDR4x""]},{""Name"":""Xoay 360°"",""Value"":[""Có - Chế độ Tablet""]},{""Name"":""Ổ cứng"",""Value"":[""1TB SSD NVMe"",""512GB SSD NVMe""]}]","0","2025-01-15 10:00:00+00","2025-12-30 05:49:08.911844+00","0","0"
"5","1","5","Lenovo ThinkPad X1 Carbon Gen 11","thinkpad-x1-carbon-gen11",,"available","48990000.00","ThinkPad X1 Carbon Gen 11 với màn hình 2.8K, Intel Core thế hệ 13, vỏ carbon siêu nhẹ.","Laptop doanh nghiệp cao cấp, bền bỉ, bảo mật tốt.","[{""Name"":""Màn hình"",""Value"":[""14 inch 2.8K (2880x1800)"",""Low Blue Light""]},{""Name"":""CPU"",""Value"":[""Intel Core i5-1335U"",""Intel Core i7-1355U""]},{""Name"":""RAM"",""Value"":[""16GB LPDDR5""]},{""Name"":""Ổ cứng"",""Value"":[""512GB SSD NVMe"",""1TB SSD NVMe""]},{""Name"":""Bảo mật"",""Value"":[""Vân tay"",""TPM 2.0"",""Webcam Privacy Shutter""]},{""Name"":""Hệ điều hành"",""Value"":[""Windows 11 Pro""]}]","0","2025-01-15 10:00:00+00","2025-01-15 10:00:00+00","0","0"
"10","2","2","iPhone 15 Pro Max","iphone-15-pro-max","0","available","33990000.00","iPhone 15 Pro Max 256GB với Dynamic Island, Always-On Display, camera zoom 5x.","iPhone cao cấp nhất với khung Titanium, camera 48MP, chip A17 Pro.","[{""Name"":""Color"",""Value"":[""Black"",""Silver""]},{""Name"":""Storage"",""Value"":[""128GB"",""256GB""]}]","2","2025-01-15 10:00:00+00","2025-12-30 05:49:08.911844+00","0","0"
"11","2","6","Samsung Galaxy S24 Ultra","samsung-galaxy-s24-ultra",,"available","29990000.00","Galaxy S24 Ultra 256GB Snapdragon 8 Gen 3, màn hình 6.8 inch, pin 5000mAh.","Android flagship với S Pen, camera 200MP, màn hình Dynamic AMOLED 2X.","[{""Name"":""Color"",""Value"":[""Blue""]},{""Name"":""Storage"",""Value"":[""256GB""]}]","0","2025-01-15 10:00:00+00","2025-12-30 05:49:08.911844+00","0","0"
"12","2","7","Google Pixel 8 Pro","google-pixel-8-pro",,"available","24990000.00","Pixel 8 Pro 256GB Tensor G3, camera AI ma thuật, màn hình LTPO OLED 120Hz.","Điện thoại AI với camera thông minh nhất, cập nhật 7 năm.","[{""Name"":""Color"",""Value"":[""Black"",""Silver""]},{""Name"":""Storage"",""Value"":[""128GB"",""256GB""]}]","0","2025-01-15 10:00:00+00","2025-12-30 05:49:08.911844+00","0","0"
"13","2","8","Xiaomi 14","xiaomi-14",,"available","18990000.00","Xiaomi 14 Snapdragon 8 Gen 3, màn hình AMOLED 120Hz, camera Leica Summilux.","Flagship Xiaomi với camera Leica, hiệu năng mạnh mẽ, giá tốt.","[{""Name"":""Resolution"",""Value"":[""4K""]},{""Name"":""Screen Size"",""Value"":[""27 inch""]}]","0","2025-01-15 10:00:00+00","2025-12-30 05:49:08.911844+00","0","0"
"14","2","9","OnePlus 12","oneplus-12",,"available","19990000.00","OnePlus 12 Snapdragon 8 Gen 3, màn hình 120Hz, pin 5400mAh sạc siêu nhanh.","Flagship killer với sạc nhanh 100W, màn hình LTPO AMOLED.","[{""Name"":""Connection Type"",""Value"":[""Wireless""]},{""Name"":""Switch Type"",""Value"":[""Red""]}]","0","2025-01-15 10:00:00+00","2025-12-30 05:49:08.911844+00","0","0"
"20","3","2","iPad Pro M2 11 inch","ipad-pro-m2-11",,"available","24990000.00","iPad Pro 11 inch M2 với ProMotion 120Hz, hỗ trợ Apple Pencil 2 và Magic Keyboard.","Máy tính bảng mạnh nhất với chip M2, màn hình Liquid Retina XDR.","[{""Name"":""Connection Type"",""Value"":[""Wireless""]},{""Name"":""DPI"",""Value"":[""800""]}]","0","2025-01-15 10:00:00+00","2025-12-30 05:49:08.911844+00","0","0"
"21","3","6","Samsung Galaxy Tab S9","samsung-galaxy-tab-s9",,"available","19990000.00","Galaxy Tab S9 11 inch Snapdragon 8 Gen 2, kháng nước IP68, S Pen kèm theo.","Tablet Android cao cấp với màn hình Dynamic AMOLED 2X, S Pen.","[{""Name"":""Connection Type"",""Value"":[""Bluetooth""]},{""Name"":""Type"",""Value"":[""Over-Ear""]}]","0","2025-01-15 10:00:00+00","2025-12-30 05:49:08.911844+00","0","0"
"22","3","8","Xiaomi Pad 6","xiaomi-pad-6",,"available","8990000.00","Xiaomi Pad 6 11 inch Snapdragon 870, màn hình LCD 144Hz, pin 8840mAh.","Tablet tầm trung với màn hình 144Hz, loa 4 kênh Dolby Atmos.","[{""Name"":""Connector Type"",""Value"":[""USB-C""]},{""Name"":""Power Output (W)"",""Value"":[""65""]}]","0","2025-01-15 10:00:00+00","2025-12-30 05:49:08.911844+00","0","0"
"30","8","1","Dell UltraSharp U2723DE","dell-ultrasharp-u2723de",,"available","17990000.00","Dell U2723DE 27 inch QHD IPS Black, độ chính xác màu cao cho thiết kế đồ họa.","Màn hình 27 inch QHD IPS, độ phủ màu 95% DCI-P3, USB-C 90W.","[{""Name"":""Device Type"",""Value"":[""IPhone 17""]},{""Name"":""Material"",""Value"":[""Silicone""]},{""Name"":""Shock Resistant"",""Value"":[""Yes""]}]","0","2025-01-15 10:00:00+00","2025-12-30 05:49:08.911844+00","0","0"
